nombre,numero,descripcion,url,idioma,topico
Widgets e aplicativos são diferentes?,1,"Apesar de ter conceitos parecidos, existem algumas diferenças entre os dois.",https://edu.gcfglobal.org//pt/aplicativos/,Portugues,aplicativos
Aplicativos para leitura em celulares,2,Leia usando seu smartphone em qualquer lugar e a qualquer hora.,https://edu.gcfglobal.org//pt/aplicativos/,Portugues,aplicativos
Planeje sua viagem e economize tempo com o Waze,3,Veja como este aplicativo pode lhe ser útil para evitar problemas com o transito.,https://edu.gcfglobal.org//pt/aplicativos/,Portugues,aplicativos
"SoundCloud, a nuvem dos sons",4,SoundCloud é uma ferramenta para publicar arquivos de áudio. Veja que interessante!,https://edu.gcfglobal.org//pt/aplicativos/,Portugues,aplicativos
Como escanear usando o celular?,5,Você sabia que existem aplicativos que lhe permitem escanear documentos com seu celular?,https://edu.gcfglobal.org//pt/aplicativos/,Portugues,aplicativos
Conheça o Google Fotos,6,Você sabia que a Google tem um serviço que lhe permite salvar fotografias online?,https://edu.gcfglobal.org//pt/aplicativos/,Portugues,aplicativos
Você sabe o que é Periscope?,7,Descubra o que pode lhe oferecer este novo aplicativo do Twitter.,https://edu.gcfglobal.org//pt/aplicativos/,Portugues,aplicativos
Tumblr: Blogs dentro das redes sociais,8,Você sabe o que é Tumblr? Aqui vamos lhe mostrar.,https://edu.gcfglobal.org//pt/aplicativos/,Portugues,aplicativos
Postar fotos no Instagram usando um PC,9,Veja outras maneiras de postar fotos no Instagram usando seu computador? Veja aqui!,https://edu.gcfglobal.org//pt/aplicativos/,Portugues,aplicativos
A arte a um passo do seu computador,10,O Google cultura é uma ferramenta que lhe permite ter acesso à arte gratuitamente.,https://edu.gcfglobal.org//pt/aplicativos/,Portugues,aplicativos
Aplicativos e sites para professores,11,Conheça algumas ferramentas virtuais que podem auxiliar no dia a dia do professor.,https://edu.gcfglobal.org//pt/aplicativos/,Portugues,aplicativos
Aplicativos gratuitos para desenho,12,Descubra novas ferramentas gratuitas que lhe permitirão desenvolver sua criatividade.,https://edu.gcfglobal.org//pt/aplicativos/,Portugues,aplicativos
A revolução dos aplicativos móveis,13,"Na medida em avança a tecnologia, os 'apps' móveis estão ganhando mais força.",https://edu.gcfglobal.org//pt/aplicativos/,Portugues,aplicativos
