name,link,category,categoryLink,language
Jardín de niños,/math/cc-kindergarten-math,math,/math,es
1.er grado,/math/cc-1st-grade-math,math,/math,es
2.º grado,/math/cc-2nd-grade-math,math,/math,es
3.º grado,/math/cc-third-grade-math,math,/math,es
4.º grado,/math/cc-fourth-grade-math,math,/math,es
5.º grado,/math/cc-fifth-grade-math,math,/math,es
6.º grado,/math/cc-sixth-grade-math,math,/math,es
7.º grado,/math/cc-seventh-grade-math,math,/math,es
8.º grado,/math/cc-eighth-grade-math,math,/math,es
Aritmética,/math/arithmetic,math,/math,es
Preálgebra,/math/pre-algebra,math,/math,es
Preparación para 3.er grado,/math/get-ready-for-3rd-grade,math,/math,es
Preparación para 4.º grado,/math/get-ready-for-4th-grade,math,/math,es
Preparación para 5.º grado,/math/get-ready-for-5th-grade,math,/math,es
Preparación para 6.º grado,/math/get-ready-for-6th-grade,math,/math,es
Preparación para 7.º grado/1.º Secundaria,/math/get-ready-for-7th-grade,math,/math,es
Preparación para 8.º grado/2.º Secundaria,/math/get-ready-for-8th-grade,math,/math,es
Preparación para Álgebra 1,/math/get-ready-for-algebra-i,math,/math,es
Preparación para Geometría,/math/get-ready-for-geometry,math,/math,es
Preparación para Álgebra 2,/math/get-ready-for-algebra-ii,math,/math,es
Preparación para Precálculo,/math/get-ready-for-precalculus,math,/math,es
Álgebra 1,/math/algebra,math,/math,es
Geometría,/math/geometry,math,/math,es
Álgebra 2,/math/algebra2,math,/math,es
Trigonometría,/math/trigonometry,math,/math,es
Precálculo,/math/precalculus,math,/math,es
Estadística y probabilidad,/math/statistics-probability,math,/math,es
Cálculo avanzado 1 (AP Calculus AB),/math/ap-calculus-ab,math,/math,es
Cálculo avanzado 2 (AP Calculus BC),/math/ap-calculus-bc,math,/math,es
Estadística avanzada (AP Statistics),/math/ap-statistics,math,/math,es
Cálculo multivariable,/math/multivariable-calculus,math,/math,es
Ecuaciones diferenciales,/math/differential-equations,math,/math,es
Álgebra lineal,/math/linear-algebra,math,/math,es
Biología de bachillerato,/science/high-school-biology,science,/science,es
Biología avanzada (AP Biology),/science/ap-biology,science,/science,es
Química avanzada (AP Chemistry),/science/ap-chemistry,science,/science,es
Física avanzada 1 (AP Physics 1),/science/physics/ap-physics-1,science,/science,es
Programación de computadoras,/computing/computer-programming,computing,/computing,es
Animación digital,/partner-content/pixar,partner-content,/partner-content,es
Microeconomía,/economics-finance-domain/microeconomics,economics-finance-domain,/economics-finance-domain,es
Macroeconomía,/economics-finance-domain/old-macroeconomics,economics-finance-domain,/economics-finance-domain,es
Mercados financieros y de capitales,/economics-finance-domain/core-finance,economics-finance-domain,/economics-finance-domain,es
